text,value,selected,description,imageSrc
Green Crack,1,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324789_Green-Crack-Icon.webp"""
Blue Dream,2,,,"""https://assets.wikileaf.com/assets/strains/strain/1632257084_Blue-Dream-Icon.webp"""
Sour Diesel,3,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324991_Sour_Diesel_500x500.webp"""
Gorilla Glue #4,4,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324822_Gorilla-Glue-4-Icon.webp"""
Hindu Kush,5,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328133_Hindu-Kush-Icon.webp"""
Gorilla Glue,6,,,"""https://assets.wikileaf.com/assets/strains/strain/1632257138_Gorilla-Glue-Icon.webp"""
Skywalker OG,7,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325110_Skywalker_OG.webp"""
Girl Scout Cookies,8,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325072_Girl_Scout_Cookies.webp"""
Northern Lights,9,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324294_Northern_Lights.webp"""
Jack Herer,10,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325040_Jack_Herer_1.webp"""
Wedding Cake,11,,,"""https://assets.wikileaf.com/assets/strains/strain/1632257053_Wedding-Cake-icon.webp"""
Durban Poison,12,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324908_Durban_Poison.webp"""
Pineapple Express,13,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325158_Pineapple_Express_1.webp"""
OG Kush,14,,,"""https://assets.wikileaf.com/assets/strains/strain/1632237803_OG_Kush_500x500.webp"""
Granddaddy Purple,15,,,"""https://assets.wikileaf.com/assets/strains/strain/1632326863_Grand_Daddy_Purple.webp"""
Gelato,16,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324939_Gelato-icon.webp"""
White Widow,17,,,"""https://assets.wikileaf.com/assets/strains/strain/1632324272_White-Widow-Icon.webp"""
Forbidden Fruit,18,,,"""https://assets.wikileaf.com/assets/strains/strain/1632333935_Forbidden_Fruit.webp"""
GMO Cookies,19,,,"""https://assets.wikileaf.com/assets/strains/strain/Strain-GMOCookies.png"""
Fruity Pebbles,20,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327228_Fruity_Pebbles.webp"""
NYC Diesel,21,,,"""https://assets.wikileaf.com/assets/strains/strain/1632413576_NYC-Diesel-icon.webp"""
Trump OG,22,,,"""https://assets.wikileaf.com/assets/strains/strain/Trump_OG_500x500.png"""
Skywalker,23,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330212_Skywalker.webp"""
Stardawg,24,,,"""https://assets.wikileaf.com/assets/strains/strain/Stardawg-Icon.jpg"""
Tahoe OG,25,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329736_Tahoe_OG.webp"""
Blueberry,26,,,"""https://assets.wikileaf.com/assets/strains/strain/1632326838_Blueberry-Icon.webp"""
AK-47,27,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328101_AK-47_1.webp"""
Do-Si-Dos,28,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325250_Do_Si_Do_500x500.webp"""
Jager,29,,,"""https://assets.wikileaf.com/assets/strains/strain/Jager_500x500.png"""
Lemon Haze,30,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327152_Lemon_Haze.webp"""
Chemdawg,31,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328293_Chemdawg.webp"""
Afghan Kush,32,,,"""https://assets.wikileaf.com/assets/strains/strain/1632333761_Afghan-Kush-Icon.webp"""
Amnesia Haze,33,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327059_Amnesia_Haze_500x500.webp"""
Cherry Pie,34,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328153_Str-CherryPie_500x500.webp"""
Acapulco Gold,35,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328475_Acapulco-Gold-Icon.webp"""
Grape Ape,36,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329528_Grape-Ape-Icon.webp"""
Blue Cheese,37,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329686_Blue-Cheese-Icon.webp"""
Lamb's Bread,38,,,"""https://assets.wikileaf.com/assets/strains/strain/Lambs_Bread.jpg"""
Orange Bud,39,,,"""https://assets.wikileaf.com/assets/strains/strain/Orange-Bud-Icon.png"""
Purple Kush,40,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330149_Purple_Kush_500x500.webp"""
Death Bubba,41,,,"""https://assets.wikileaf.com/assets/strains/strain/1632414088_Death_Bubba.webp"""
Purple Punch,42,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325286_purple-punch-icon.webp"""
Trainwreck,43,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330069_Trainwreck.webp"""
Runtz,44,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327198_1576186497_Runtz-icon.webp"""
Strawberry Cough,45,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328268_Strawberry-Cough-Icon.webp"""
Zkittlez,46,,,"""https://assets.wikileaf.com/assets/strains/strain/1632325191_Zkittlez.webp"""
Alaskan Thunderfuck,47,,,"""https://assets.wikileaf.com/assets/strains/strain/1632334160_Alaskan_Thunderfuck_500x500.webp"""
Banana Kush,48,,,"""https://assets.wikileaf.com/assets/strains/strain/1632334040_Banana-Kush-Icon.webp"""
9 Pound Hammer,49,,,"""https://assets.wikileaf.com/assets/strains/strain/9-Pound-Hammer-Icon.jpg"""
Mimosa,50,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327629_Mimosa.webp"""
Apple Fritter,51,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329556_apple-fritter-icon.webp"""
Berry White,52,,,"""https://assets.wikileaf.com/assets/strains/strain/Berry-White-Icon.jpg"""
LSD,53,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328450_LSD_1.webp"""
Blue Cookies,54,,,"""https://assets.wikileaf.com/assets/strains/strain/1632414037_Blue_Cookies.webp"""
Ghost Train Haze,55,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328357_ghost-train-haze.webp"""
Candyland,56,,,"""https://assets.wikileaf.com/assets/strains/strain/1632413108_Candyland-Icon.webp"""
King Louis XIII,57,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330045_King_Louis_XIII_500x500.webp"""
Alien OG,58,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328322_Alien-OG-Icon.webp"""
Sunset Sherbet,59,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327485_Sunset_Sherbert_500x500.webp"""
Kosher Kush,60,,,"""https://assets.wikileaf.com/assets/strains/strain/1632414009_Kosher_Kush.webp"""
Super Silver Haze,61,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329623_Super_Silver_Haze_500x500.webp"""
Purple Haze,62,,,"""https://assets.wikileaf.com/assets/strains/strain/1632328427_Purple_Haze.webp"""
Strawberry Banana,63,,,"""https://assets.wikileaf.com/assets/strains/strain/1632340043_Strawberry_Banana.webp"""
Black Diamond,64,,,"""https://assets.wikileaf.com/assets/strains/strain/1632333871_Black-Diamond-Icon.webp"""
Lemon Skunk,65,,,"""../../../assets/img/strain-types/Sativa_500.png"""
Maui Waui,66,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330096_Maui-Waui-Icon.webp"""
Moby Dick,67,,,"""https://assets.wikileaf.com/assets/strains/strain/Moby_Dick_500x500.png"""
Bruce Banner,68,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327522_Bruce-Banner-Icon.webp"""
Fire OG Kush,69,,,"""https://assets.wikileaf.com/assets/strains/strain/Fire_OG_Kush.jpg"""
Sensi Star,70,,,"""https://assets.wikileaf.com/assets/strains/strain/Sensi_Star-Icon.jpg"""
Death Star,71,,,"""https://assets.wikileaf.com/assets/strains/strain/Death_Star.jpg"""
Ghost OG,72,,,"""https://assets.wikileaf.com/assets/strains/strain/Ghost-OG-Icon.jpg"""
Super Lemon Haze,73,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327598_Super_Lemon_Haze.webp"""
LA Confidential,74,,,"""https://assets.wikileaf.com/assets/strains/strain/LA_Confidential_500x500.png"""
Mango Kush,75,,,"""https://assets.wikileaf.com/assets/strains/strain/1632413519_Mango_Kush_500x500.webp"""
Thin Mint Cookies,76,,,"""https://assets.wikileaf.com/assets/strains/strain/1632413073_Thin-Mint-Cookies-Icon.webp"""
Golden Goat,77,,,"""https://assets.wikileaf.com/assets/strains/strain/Golden_Goat.png"""
Timewarp,78,,,"""https://assets.wikileaf.com/assets/strains/strain/Time-Warp-icon.png"""
Pink Kush,79,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329658_U-Pink-Kush-icon.webp"""
Chernobyl,80,,,"""https://assets.wikileaf.com/assets/strains/strain/Chernobyl-Icon.jpg"""
Ice Cream Cake,81,,,"""../../../assets/img/strain-types/Indica_500.png"""
ACDC,82,,,"""https://assets.wikileaf.com/assets/strains/strain/ACDC.png"""
Bubba Kush,83,,,"""https://assets.wikileaf.com/assets/strains/strain/1632327450_Bubba_Kush.webp"""
Critical Kush,84,,,"""https://assets.wikileaf.com/assets/strains/strain/1632412887_Critical-Kush-Icon.webp"""
Blueberry Kush,85,,,"""https://assets.wikileaf.com/assets/strains/strain/Blueberry-Kush-Icon.jpg"""
Purple Urkle,86,,,"""https://assets.wikileaf.com/assets/strains/strain/1632334066_Purple-Urkle-Icon.webp"""
Headband,87,,,"""https://assets.wikileaf.com/assets/strains/strain/Headband_500x500.png"""
White Fire OG,88,,,"""https://assets.wikileaf.com/assets/strains/strain/White-Fire-OG-Icon.jpg"""
Blackberry Kush,89,,,"""https://assets.wikileaf.com/assets/strains/strain/Blackberry-Kush-Icon.jpg"""
Grease Monkey,90,,,"""https://assets.wikileaf.com/assets/strains/strain/1632329715_Grease_Monkey_500x500.webp"""
Peanut Butter Breath,91,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Khalifa Kush,92,,,"""https://assets.wikileaf.com/assets/strains/strain/Khalifa_Kush.png"""
SFV OG Kush,93,,,"""https://assets.wikileaf.com/assets/strains/strain/1632414110_SFV_OG_Kush_1.webp"""
Jack the Ripper,94,,,"""https://assets.wikileaf.com/assets/strains/strain/Jack_the_Ripper.png"""
Jack Frost,95,,,"""https://assets.wikileaf.com/assets/strains/strain/Jack-Frost-Icon.png"""
Cookies and Cream,96,,,"""https://assets.wikileaf.com/assets/strains/strain/1632330188_Cookies_and_Cream.webp"""
Cat Piss,97,,,"""https://assets.wikileaf.com/assets/strains/strain/Cat-Piss-Icon.png"""
Sour OG,98,,,"""https://assets.wikileaf.com/assets/strains/strain/Sour_OG.png"""
G-13,99,,,"""https://assets.wikileaf.com/assets/strains/strain/1632412809_G-13-Icon.webp"""
Holy Grail Kush,100,,,"""https://assets.wikileaf.com/assets/strains/strain/Holy_Grail_Kush_500x500.png"""
Island Sweet Skunk,101,,,"""https://assets.wikileaf.com/assets/strains/strain/Island_Sweet_Skunk.jpg"""
Mendo Breath,102,,,"""https://assets.wikileaf.com/assets/strains/strain/Mendo_Breath.png"""
Jillybean,103,,,"""https://assets.wikileaf.com/assets/strains/strain/Jillybean-Icon.jpg"""
Lemon Kush,104,,,"""https://assets.wikileaf.com/assets/strains/strain/1632333994_Lemon_Kush.webp"""
Orange Crush,105,,,"""https://assets.wikileaf.com/assets/strains/strain/Orange-Crush-icon.png"""
Mendocino Purps,106,,,"""https://assets.wikileaf.com/assets/strains/strain/Mendocino-Purps-icon.png"""
Platinum OG,107,,,"""https://assets.wikileaf.com/assets/strains/strain/Platinum-OG-icon.png"""
Master Kush,108,,,"""https://assets.wikileaf.com/assets/strains/strain/1632334131_Master-Kush-Icon.webp"""
Ice Cream,109,,,"""https://assets.wikileaf.com/assets/strains/strain/1632334094_Ice_Cream_500x500.webp"""
MAC 1,110,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Sundae Driver,111,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Bio Jesus,112,,,"""https://assets.wikileaf.com/assets/strains/strain/Bio_Jesus.png"""
Brownie Scout,113,,,"""../../../assets/img/strain-types/Indica_500.png"""
