,strain
0,Green Crack
1,Blue Dream
2,Sour Diesel
3,Gorilla Glue #4
4,Hindu Kush
5,Gorilla Glue
6,Skywalker OG
7,Girl Scout Cookies
8,Northern Lights
9,Jack Herer
10,Wedding Cake
11,Durban Poison
12,Pineapple Express
13,OG Kush
14,Granddaddy Purple
15,Gelato
16,White Widow
17,Forbidden Fruit
18,GMO Cookies
19,Fruity Pebbles
20,NYC Diesel
21,Trump OG
22,Skywalker
23,Stardawg
24,Tahoe OG
25,Blueberry
26,AK-47
27,Do-Si-Dos
28,Jager
29,Lemon Haze
30,Chemdawg
31,Afghan Kush
32,Amnesia Haze
33,Cherry Pie
34,Acapulco Gold
35,Grape Ape
36,Blue Cheese
37,Lamb's Bread
38,Orange Bud
39,Purple Kush
40,Death Bubba
41,Purple Punch
42,Trainwreck
43,Runtz
44,Strawberry Cough
45,Zkittlez
46,Alaskan Thunderfuck
47,Banana Kush
48,9 Pound Hammer
49,Mimosa
50,Apple Fritter
51,Berry White
52,LSD
53,Blue Cookies
54,Ghost Train Haze
55,Candyland
56,King Louis XIII
57,Alien OG
58,Sunset Sherbet
59,Kosher Kush
60,Super Silver Haze
61,Purple Haze
62,Strawberry Banana
63,Black Diamond
64,Lemon Skunk
65,Maui Waui
66,Moby Dick
67,Bruce Banner
68,Fire OG Kush
69,Sensi Star
70,Death Star
71,Ghost OG
72,Super Lemon Haze
73,LA Confidential
74,Mango Kush
75,Thin Mint Cookies
76,Golden Goat
77,Timewarp
78,Pink Kush
79,Chernobyl
80,Ice Cream Cake
81,ACDC
82,Bubba Kush
83,Critical Kush
84,Blueberry Kush
85,Purple Urkle
86,Headband
87,White Fire OG
88,Blackberry Kush
89,Grease Monkey
90,Peanut Butter Breath
91,Khalifa Kush
92,SFV OG Kush
93,Jack the Ripper
94,Jack Frost
95,Cookies and Cream
96,Cat Piss
97,Sour OG
98,G-13
99,Holy Grail Kush
100,Island Sweet Skunk
101,Mendo Breath
102,Jillybean
103,Lemon Kush
104,Orange Crush
105,Mendocino Purps
106,Platinum OG
107,Master Kush
108,Ice Cream
109,MAC 1
110,Sundae Driver
111,Bio Jesus
112,Brownie Scout
113,Obama Kush
114,Goji OG
115,Larry OG
116,Black Widow
117,Papaya
118,Nerds
119,Jet Fuel
120,Bubblegum
121,MK Ultra
122,White Rhino
123,Violator Kush
124,Colombian Gold
125,Trinity
126,Animal Cookies
127,Slurricane
128,Gorilla Cookies
129,Lavender
130,Flo
131,Cannatonic
132,Querkle
133,Grapefruit
134,God's Gift
135,Clementine
136,Pre-98 Bubba Kush
137,Monster Cookies
138,Apollo 13
139,Black Jack
140,Blue Mystic
141,Hash Plant
142,Lodi Dodi
143,Agent Orange
144,Cheese
145,Super Skunk
146,Red Dragon
147,Platinum Girl Scout Cookies
148,Casey Jones
149,Tangie
150,Rosetta Stone
151,Grandpa's Stash
152,Kandy Kush
153,Pennywise
154,Star Killer
155,White Cookies
156,Harlequin
157,Alien Dawg
158,Green Line OG
159,Kush Mint
160,Private Reserve
161,Lemon G
162,Recon
163,Phantom OG
164,Orange Kush
165,Cherry Diesel
166,Champagne Kush
167,Chocolope
168,The White
169,Super Sour Diesel
170,Critical Mass
171,Key Lime Pie
172,Banana OG
173,Strawberry Kush
174,Bubblegum Kush
175,Dutch Treat
176,Great White Shark
177,Blue Sherbert
178,Shishkaberry
179,Panama Red
180,Bordello
181,Cinderella 99
182,Laughing Buddha
183,Watermelon
184,Greek Kalamata
185,Space Queen
186,Super Glue
187,Snoop's Dream
188,Big Bud
189,Chaos Kush
190,White Buffalo
191,Tiger's Milk
192,Vanilla Kush
193,Banana Split
194,White Runtz
