,strain,about
0,Green Crack,https://www.wikileaf.com/strain/green-crack/
1,Blue Dream,https://www.wikileaf.com/strain/blue-dream/
2,Sour Diesel,https://www.wikileaf.com/strain/sour-diesel/
3,Gorilla Glue #4,https://www.wikileaf.com/strain/gorilla-glue-4/
4,Hindu Kush,https://www.wikileaf.com/strain/hindu-kush/
5,Gorilla Glue,https://www.wikileaf.com/strain/gorilla-glue/
6,Skywalker OG,https://www.wikileaf.com/strain/skywalker-og/
7,Girl Scout Cookies,https://www.wikileaf.com/strain/girl-scout-cookies/
8,Northern Lights,https://www.wikileaf.com/strain/northern-lights/
9,Jack Herer,https://www.wikileaf.com/strain/jack-herer/
10,Wedding Cake,https://www.wikileaf.com/strain/wedding-cake/
11,Durban Poison,https://www.wikileaf.com/strain/durban-poison/
12,Pineapple Express,https://www.wikileaf.com/strain/pineapple-express/
13,OG Kush,https://www.wikileaf.com/strain/og-kush/
14,Granddaddy Purple,https://www.wikileaf.com/strain/grand-daddy-purple/
15,Gelato,https://www.wikileaf.com/strain/gelato/
16,White Widow,https://www.wikileaf.com/strain/white-widow/
17,Forbidden Fruit,https://www.wikileaf.com/strain/forbidden-fruit/
18,GMO Cookies,https://www.wikileaf.com/strain/gmo-cookies/
19,Fruity Pebbles,https://www.wikileaf.com/strain/fruity-pebbles/
20,NYC Diesel,https://www.wikileaf.com/strain/nyc-diesel/
21,Trump OG,https://www.wikileaf.com/strain/trump-og/
22,Skywalker,https://www.wikileaf.com/strain/skywalker/
23,Stardawg,https://www.wikileaf.com/strain/stardawg/
24,Tahoe OG,https://www.wikileaf.com/strain/tahoe-og/
25,Blueberry,https://www.wikileaf.com/strain/blueberry/
26,AK-47,https://www.wikileaf.com/strain/ak-47/
27,Do-Si-Dos,https://www.wikileaf.com/strain/do-si-do/
28,Jager,https://www.wikileaf.com/strain/jager/
29,Lemon Haze,https://www.wikileaf.com/strain/lemon-haze/
30,Chemdawg,https://www.wikileaf.com/strain/chemdawg/
31,Afghan Kush,https://www.wikileaf.com/strain/afghan-kush/
