,logo,strain,about
0,"<img _ngcontent-sc40="""" alt=""Green Crack logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632324789_Green-Crack-Icon.webp"" style=""width: 240px; height: 240px;""/>",Green Crack,https://www.wikileaf.com/strain/green-crack/
1,"<img _ngcontent-sc7="""" alt=""Blue Dream logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632257084_Blue-Dream-Icon.webp"" style=""width: 240px; height: 240px;""/>",Blue Dream,https://www.wikileaf.com/strain/blue-dream/
2,"<img _ngcontent-sc42="""" alt=""Sour Diesel logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632324991_Sour_Diesel_500x500.webp"" style=""width: 240px; height: 240px;""/>",Sour Diesel,https://www.wikileaf.com/strain/sour-diesel/
3,"<img _ngcontent-sc47="""" alt=""Gorilla Glue #4 logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632324822_Gorilla-Glue-4-Icon.webp"" style=""width: 240px; height: 240px;""/>",Gorilla Glue #4,https://www.wikileaf.com/strain/gorilla-glue-4/
4,"<img _ngcontent-sc7="""" alt=""Hindu Kush logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632328133_Hindu-Kush-Icon.webp"" style=""width: 240px; height: 240px;""/>",Hindu Kush,https://www.wikileaf.com/strain/hindu-kush/
5,"<img _ngcontent-sc42="""" alt=""Gorilla Glue logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632257138_Gorilla-Glue-Icon.webp"" style=""width: 240px; height: 240px;""/>",Gorilla Glue,https://www.wikileaf.com/strain/gorilla-glue/
6,"<img _ngcontent-sc7="""" alt=""Skywalker OG logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632325110_Skywalker_OG.webp"" style=""width: 240px; height: 240px;""/>",Skywalker OG,https://www.wikileaf.com/strain/skywalker-og/
7,"<img _ngcontent-sc30="""" alt=""Girl Scout Cookies logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632325072_Girl_Scout_Cookies.webp"" style=""width: 240px; height: 240px;""/>",Girl Scout Cookies,https://www.wikileaf.com/strain/girl-scout-cookies/
8,"<img _ngcontent-sc47="""" alt=""Northern Lights logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632324294_Northern_Lights.webp"" style=""width: 240px; height: 240px;""/>",Northern Lights,https://www.wikileaf.com/strain/northern-lights/
9,"<img _ngcontent-sc7="""" alt=""Jack Herer logo"" class=""logo"" src=""https://assets.wikileaf.com/assets/strains/strain/1632325040_Jack_Herer_1.webp"" style=""width: 240px; height: 240px;""/>",Jack Herer,https://www.wikileaf.com/strain/jack-herer/
